NOMBRE;TIPOS COLONIAS ID;CODIGOS POSTALES MUNICIPIOS ID
AGUASCALIENTES CENTRO;1;1
SAN CAYETANO;2;2
COLINAS DEL RIO;2;2
OLIVARES SANTANA;1;2
LAS BRISAS;2;2
RAMON ROMO FRANCO;2;2
COLINAS DE SAN IGNACIO;2;3
LA FUNDICIÓN;2;3
FUNDICIÓN II;2;3
LOS SAUCES;2;3
LÍNEA DE FUEGO;1;4
BUENOS AIRES;1;5
CIRCUNVALACIÓN NORTE;2;5
LAS ARBOLEDAS;2;5
VILLAS DE SAN FRANCISCO;2;5
VILLAS DE LA UNIVERSIDAD;2;6
EL SOL;2;7
GREMIAL;1;7
INDUSTRIAL;1;7
ALTAVISTA;1;8
CURTIDORES;1;8
LA CONCORDIA;2;8
MIRAVALLE;1;8
PANORAMA;2;8
RESIDENCIAL GUADALUPE;2;8
COLINAS DEL PONIENTE;2;9
BUGAMBILIAS;3;10
DEL CARMEN;1;10
LA FE;1;10
MÉXICO;1;10
PRIMAVERA;1;10
SAN PABLO;1;10
GUADALUPE;1;11
HELIODORO GARCIA;1;11
GÓMEZ;2;12
MODERNO;2;12
VALLE DEL RIO SAN PEDRO;2;13
GUADALUPE POSADA;4;14
SAN MARCOS;1;14
SAN MARCOS;5;14
SAN MARCOS;2;15
MODELO;2;16
RESIDENCIAL DEL VALLE I;2;16
RESIDENCIAL DEL VALLE II;2;17
LA HERRADURA;2;18
CLUB CAMPESTRE;2;18
JARDINES DEL CAMPESTRE;3;18
LOS VERGELES;2;18
CIUDAD UNIVERSITARIA;6;18
RANCHO SAN ANTONIO;3;18
VILLAS DE MONTENEGRO;2;19
LAS CAVAS;2;19
LA ENRAMADA;2;19
TALAMANTES PONCE;1;19
GRANJAS DEL CAMPESTRE;2;19
PUERTO LAS HADAS;3;19
VALLE DEL CAMPESTRE;2;19
TROJES DE ORIENTE;2;20
VALLE DE LAS TROJES;2;20
VILLAS DE SAN NICOLÁS;2;20
SAN TELMO;2;20
LA PALOMA;3;20
BARRIO DE SANTIAGO;2;20
VILLA DE LAS TROJES;2;20
VALLE DE SANTA TERESA;2;20
LA TROJE;2;21
TROJES DE ALONSO;1;21
SAN TELMO RESIDENCIAL;2;21
SANTA FE;3;21
AGUASCALIENTES 2000;2;22
LAS TROJES;3;23
MISIÓN DEL CAMPANARIO;2;23
TROJES DE CRISTAL;2;23
TROJES DEL SOL;3;23
RESIDENCIAL SANTA CLARA;2;23
MISIÓN DE SANTIAGO;2;23
ANDORA RESIDENCIAL;3;23
CADAQUÉS RESIDENCIAL;3;23
VALLE DEL CAMPANARIO;2;23
LAS MISIONES;2;23
LOS JARALES;3;23
CERRADA EL MOLINO;3;23
VALLE REAL;2;23
TERZETTO;3;23
CERRADA DE LA MISIÓN;2;23
CERRADA DEL VALLE;2;23
CERRADA DE LA MEZQUITERA;2;23
LOMAS DEL CAMPESTRE 2A SECCIÓN;2;24
VILLAS DEL CAMPESTRE;2;24
LOS CALICANTOS;2;24
JARDINES DE LA CONCEPCIÓN;2;25
LOS BOSQUES;2;25
RINCONADA LOS BOSQUES;3;25
LA PERLA NORTE;3;26
ARROYO EL MOLINO;2;26
GALERÍAS;7;27
RESIDENCIAL ALTARIA;2;27
CONSTITUCIÓN;2;28
LIBERTAD;2;28
POZO BRAVO NORTE;2;28
SOBERANA CONVENCIÓN REVOLUCIONARIA;2;28
VILLA MONTAÑA;2;28
VILLAS DE DON ANTONIO;2;28
LOS ÁNGELES;2;28
CAPITTALA;2;28
RECINTO DE LA MACARENA;2;28
LA SOLEDAD;8;28
LOS NARANJOS;2;28
VILLA DE NUESTRA SEÑORA DE LA ASUNCIÓN SECTOR GUADALUPE;2;28
VILLA TERESA;2;28
CARTAGENA 1947;2;28
VILLAS DE LA CONVENCIÓN;2;28
LOMAS DE LA ASUNCIÓN;2;28
VILLA DE NUESTRA SEÑORA DE LA ASUNCIÓN SECTOR ENCINO;2;28
VILLA DE NUESTRA SEÑORA DE LA ASUNCIÓN SECTOR ALAMEDA;2;28
SAN JOSÉ DE POZO BRAVO;2;28
VILLA DE NUESTRA SEÑORA DE LA ASUNCIÓN SECTOR SAN MARCOS;2;28
VILLA DE NUESTRA SEÑORA DE LA ASUNCIÓN SECTOR ESTACIÓN;2;28
LAS PLAZAS;3;28
EL ROSEDAL;2;28
NATURA;2;28
MONTEBELLO DELLA STANZA;2;28
VILLA NOTRE DAME;3;28
PRIVADA GUADALUPE;3;28
RINCONADA POZO BRAVO;2;28
