NOMBRE;TIPOS COLONIAS ID;CODIGOS POSTALES MUNICIPIOS ID
OAXACA CENTRO;1;19149
BUGAMBILIAS;2;19150
LOS CEDROS;2;19150
ELSA;2;19150
REVOLUCIÓN;1;19150
SAUCES;2;19150
ORQUIDEAS;2;19150
EDUCACION;1;19150
TULIPANES;2;19150
BUGAMBILIAS;1;19151
HELADIO RAMÍREZ LÓPEZ;1;19151
LOMAS DE SANTA ROSA;1;19151
ADOLFO LÓPEZ MATEOS ZONA NORESTE;1;19151
LOMAS DE SAN JACINTO;1;19151
EX HACIENDA SANTA ROSA 1A SECCIÓN;1;19151
NEZA CUBI;1;19151
EXHACIENDA SANTA ROSA 2A SECCIÓN;1;19151
DEL MAESTRO;1;19152
EL PARAÍSO;1;19152
VISTA HERMOSA;1;19152
HOTELEROS;1;19152
LOMAS PANORAMICAS;1;19152
LA SOLEDAD;1;19152
LOMA BONITA;1;19152
BUENA VISTA;1;19152
SOLIDARIDAD;1;19152
10 DE ABRIL;1;19152
VOLCANES;1;19153
AMPLIACIÓN VOLCANES;1;19153
DONAJI;1;19154
SAN LUIS BELTRAN;1;19154
7 REGIONES;1;19154
AMPLIACIÓN JARDÍN;1;19154
7 REGIONES AMPLIACIÓN;1;19154
AMPLIACIÓN SIETE REGIONES PARTE NORTE;1;19154
JARDÍN;1;19154
MANUEL AVILA CAMACHO;1;19154
CASA DEL SOL;2;19154
LOMA LINDA;1;19155
ISSSTE;4;19155
LOMAS DEL CRESTON;1;19155
RESIDENCIAL EX-HACIENDA DE GUADALUPE;2;19155
GUADALUPE VICTORIA;1;19155
SAN CARLOS;2;19155
RICARDO FLORES MAGÓN;4;19156
PARQUE H2A (RESERVA ECOLÓGICA);8;19157
SAN FELIPE DEL AGUA;1;19157
LA CHIGULERA;5;19157
RESIDENCIAL PUENTE DE PIEDRA;2;19157
VILLA FRONTU;2;19157
CONSUELO RUÍZ;1;19157
LOMAS DE SAN FELIPE;1;19157
RESIDENCIAL ÁLAMOS;24;19157
RINCONADA;2;19157
BOSQUE SAN FELIPE;1;19157
LOMA OAXACA;1;19157
INFONAVIT 1RO. DE MAYO;4;19158
VILLA DE ANTEQUERA;2;19158
FOVISSSTE;4;19158
DOLORES;1;19159
LOS RÍOS;2;19159
VILLAS DE SAN LUIS;2;19159
AMPLIACIÓN DOLORES;1;19159
ADOLFO LÓPEZ MATEOS;1;19160
BENITO JUÁREZ;1;19160
CUAUHTÉMOC;1;19160
LINDAVISTA;1;19160
SAN FRANCISCO;1;19160
CENTRO DE CONVENCIONES;6;19160
GUADALUPE VICTORIA;1;19161
POPULAR VICTORIA;2;19161
VICENTE SUÁREZ;1;19161
FRANCISCO I. MADERO;1;19161
DEL PERIODISTA;1;19161
INSTITUTO TECNOLOGÍCO DE OAXACA;6;19161
LOS PINOS;2;19161
MARGARITAS;2;19161
UNIÓN;1;19161
EL PASAJUEGO;1;19162
NIÑOS HÉROES;2;19162
SANTA MARÍA;1;19162
EX-MARQUEZADO;5;19162
VILLA DE MARQUEZ;2;19162
SANTA ROSA PANZACOLA;1;19163
DIAZ ORDAZ;1;19164
LA CASCADA;2;19164
LA LOMA;2;19164
RINCÓN DEL ACUEDUCTO;2;19164
XOCHIMILCO;5;19164
LA CASCADA;1;19164
LOMAS DE LA CASCADA;2;19164
LOMAS DE SAN JACINTO SECTOR UNO;1;19165
GUADALUPE VICTORIA SECCIÓN OESTE 2 SECTOR;1;19165
GUADALUPE VICTORIA SECCIÓN OESTE 1 SECTOR;1;19165
LOMAS DE MICROONDAS;1;19165
SANTO TOMAS;1;19165
RINCONES DE XOCHIMILCO;2;19165
OJO DE AGUA;1;19165
RICARDO FLORES MAGÓN;1;19166
OLÍMPICA;1;19166
RESIDENCIAL DEL RÍO SAN FELIPE;2;19166
CRENO;6;19166
RESIDENCIAL SAN FELIPE;2;19166
SABINOS;1;19166
COLINAS DE LA SOLEDAD;2;19166
EL RETIRO;2;19166
PRESA SAN FELIPE;2;19166
LA PAZ SAN FELIPE;1;19166
ESTRELLA;1;19167
MÁRTIRES DEL RÍO BLANCO;1;19167
MANUEL SABINO CRESPO;1;19167
AURORA;1;19167
LA LOMA AMPLIACIÓN;2;19167
AURORA;2;19167
POZA DEL ÁNGEL;2;19167
SINDICATO AUTONOMO;2;19167
EL ENCINAL;2;19167
EL CENTENARIO;1;19167
MICROONDAS;1;19167
POZAS ARCAS;2;19167
LOMAS DE LAS AZUCENAS;1;19167
PROVIDENCIA;1;19167
EL CHOPO;2;19168
LA LUZ;2;19168
LOS MANGALES;2;19168
PAPAYO;2;19168
AMÉRICA NORTE;1;19168
REFORMA;1;19168
UNIÓN Y PROGRESO;1;19168
LOMAS DE ANTEQUERA;2;19169
CERRO DEL FORTIN;1;19170
FALDAS DEL FORTÍN;1;19171
FLAVIO PÉREZ GAZGA;2;19171
AZUCENAS;1;19172
LUIS JIMÉNEZ FIGUEROA;1;19172
LA PAZ;2;19172
VICTORIA;2;19172
GUELAGUETZA;1;19172
EL PEÑASCO;5;19173
INDEPENDENCIA;2;19174
JALATLACO;5;19174
TRINIDAD DE LAS  HUERTAS;5;19174
POSTAL;1;19174
LOS PIRUS;2;19174
OBRERA;1;19174
HACIENDA;2;19174
LA NORIA;5;19175
ARTÍCULO 123 PONIENTE;1;19176
COSIJOEZA;1;19176
LIBERTAD;1;19176
LA COMPUERTA;2;19176
ARBOLEDA;1;19176
