NOMBRE;ESTADOS ID
AGUASCALIENTES;1
SAN FRANCISCO DE LOS ROMO;1
EL LLANO;1
RINCÓN DE ROMOS;1
COSÍO;1
SAN JOSÉ DE GRACIA;1
TEPEZALÁ;1
PABELLÓN DE ARTEAGA;1
ASIENTOS;1
CALVILLO;1
JESÚS MARÍA;1
MEXICALI;2
TECATE;2
SAN FELIPE;2
TIJUANA;2
PLAYAS DE ROSARITO;2
ENSENADA;2
SAN QUINTÍN;2
LA PAZ;3
LOS CABOS;3
COMONDÚ;3
LORETO;3
MULEGÉ;3
CAMPECHE;4
CARMEN;4
PALIZADA;4
CANDELARIA;4
ESCÁRCEGA;4
CHAMPOTÓN;4
SEYBAPLAYA;4
HOPELCHÉN;4
CALAKMUL;4
TENABO;4
HECELCHAKÁN;4
CALKINÍ;4
SALTILLO;5
ARTEAGA;5
JUÁREZ;5
PROGRESO;5
ESCOBEDO;5
SAN BUENAVENTURA;5
ABASOLO;5
CANDELA;5
FRONTERA;5
MONCLOVA;5
CASTAÑOS;5
RAMOS ARIZPE;5
GENERAL CEPEDA;5
PIEDRAS NEGRAS;5
NAVA;5
ACUÑA;5
MÚZQUIZ;5
JIMÉNEZ;5
ZARAGOZA;5
MORELOS;5
ALLENDE;5
VILLA UNIÓN;5
GUERRERO;5
HIDALGO;5
SABINAS;5
SAN JUAN DE SABINAS;5
TORREÓN;5
MATAMOROS;5
VIESCA;5
OCAMPO;5
NADADORES;5
SIERRA MOJADA;5
CUATRO CIÉNEGAS;5
LAMADRID;5
SACRAMENTO;5
SAN PEDRO;5
FRANCISCO I. MADERO;5
PARRAS;5
COLIMA;6
TECOMÁN;6
MANZANILLO;6
ARMERÍA;6
COQUIMATLÁN;6
COMALA;6
CUAUHTÉMOC;6
IXTLAHUACÁN;6
MINATITLÁN;6
VILLA DE ÁLVAREZ;6
TUXTLA GUTIÉRREZ;7
SAN FERNANDO;7
BERRIOZÁBAL;7
OCOZOCOAUTLA DE ESPINOSA;7
SUCHIAPA;7
CHIAPA DE CORZO;7
OSUMACINTA;7
SAN CRISTÓBAL DE LAS CASAS;7
CHAMULA;7
IXTAPA;7
ZINACANTÁN;7
ACALA;7
EMILIANO ZAPATA;7
CHIAPILLA;7
SAN LUCAS;7
TEOPISCA;7
AMATENANGO DEL VALLE;7
CHANAL;7
OXCHUC;7
HUIXTÁN;7
TENEJAPA;7
MITONTIC;7
REFORMA;7
JUÁREZ;7
PICHUCALCO;7
SUNUAPA;7
OSTUACÁN;7
FRANCISCO LEÓN;7
IXTACOMITÁN;7
SOLOSUCHIAPA;7
IXTAPANGAJOYA;7
MEZCALAPA;7
TECPATÁN;7
COPAINALÁ;7
CHICOASÉN;7
COAPILLA;7
PANTEPEC;7
TAPALAPA;7
OCOTEPEC;7
CHAPULTENANGO;7
AMATÁN;7
HUITIUPÁN;7
IXHUATÁN;7
TAPILULA;7
RAYÓN;7
PUEBLO NUEVO SOLISTAHUACÁN;7
RINCÓN CHAMULA SAN PEDRO;7
JITOTOL;7
BOCHIL;7
SOYALÓ;7
SAN JUAN CANCUC;7
SABANILLA;7
SIMOJOVEL;7
SAN ANDRÉS DURAZNAL;7
EL BOSQUE;7
CHALCHIHUITÁN;7
LARRÁINZAR;7
SANTIAGO EL PINAR;7
CHENALHÓ;7
ALDAMA;7
PANTELHÓ;7
SITALÁ;7
SALTO DE AGUA;7
TILA;7
TUMBALÁ;7
YAJALÓN;7
OCOSINGO;7
CHILÓN;7
BENEMÉRITO DE LAS AMÉRICAS;7
MARQUÉS DE COMILLAS;7
PALENQUE;7
LA LIBERTAD;7
